"TRE ACR Report"
"PORTFOLIO","POS_CUR_PAR","POS_DATE","POS_FACE","MKT_PRICE","SOURCE","CLIENT_SEC_TYPE","SEC_CURRENCY","CLIENT_ID","BOOK_TYPE","BOOK_PRICE","BOOK_FX_RATE","BOOK_VALUE","BOOK_DATE","BOOK_TYPE_2","BOOK_PRICE_2","BOOK_VALUE_2","BOOK_DATE_2","BOOK_TYPE_3","BOOK_PRICE_3","BOOK_VALUE_3","BOOK_DATE_3","BOOK_YIELD","BOOK_YIELD_2","BOOK_YIELD_3","STRATEGY"
"USDACRTRE","10,938,272.04","06/02/2020","11,977,106.00","100.068641600000000","ACR","LOAN","USD","ACR008498","","","","","","","","","","","","","","","","",""
"JPDACRTRE","41,749,123.15","06/02/2020","51,108,000.00","100.033225000000000","ACR","LOAN","USD","ACR009998","","","","","","","","","","","","","","","","",""
"USDACRTRE","8,168,803.83","06/02/2020","10,000,000.00","100.033077300000000","ACR","LOAN","USD","ACR009999","","","","","","","","","","","","","","","","","FHLA28"
"JPDACRTRE","40,573,450.66","06/02/2020","84,448,000.00","99.666074250000000","ACR","LOAN","USD","ACR010436","","","","","","","","","","","","","","","","",""
"JPDACRTRE","72,155,528.12","06/02/2020","87,745,967.00","99.382562080000000","ACR","LOAN","USD","ACR010474","","","","","","","","","","","","","","","","",""
"USDACRTRE","7,206,822.43","06/02/2020","15,000,000.00","99.666035080000000","ACR","LOAN","USD","ACR010659","","","","","","","","","","","","","","","","","FHLA19"
"JPDACRTRE","30,730,569.45","06/02/2020","31,135,650.00","99.416587580000000","ACR","LOAN","USD","ACR010798","","","","","","","","","","","","","","","","",""
"USDACRTRE","14,434,726.06","06/02/2020","14,625,000.00","99.416614850000000","ACR","LOAN","USD","ACR010799","","","","","","","","","","","","","","","","","FHLA29"
"JPDACRTRE","787,963.31","06/02/2020","798,350.00","100.000000000000000","ACR","LOAN","USD","ACR010800","","","","","","","","","","","","","","","","",""
"USDACRTRE","370,121.18","06/02/2020","375,000.00","100.000000000000000","ACR","LOAN","USD","ACR010801","","","","","","","","","","","","","","","","","FHLA29"
"USDACRTRE","20,558,075.96","06/02/2020","25,000,000.00","99.382559790000000","ACR","LOAN","USD","ACR010833","","","","","","","","","","","","","","","","","FHLA25"
"JPDACRTRE","34,839,244.63","06/02/2020","45,994,149.00","99.764054520000000","ACR","LOAN","USD","ACR010941","","","","","","","","","","","","","","","","",""
"JPDACRTRE","19,974,490.15","06/02/2020","21,750,000.00","","ACR","LOAN","USD","ACR011524","","","","","","","","","","","","","","","","",""
"JPDACRTRE","893,313.97","06/02/2020","1,179,337.00","100.000000000000000","ACR","LOAN","USD","ACR011603","","","","","","","","","","","","","","","","",""
"USDACRTRE","4,464,081.48","06/02/2020","5,893,401.00","99.764316880000000","ACR","LOAN","USD","ACR011604","","","","","","","","","","","","","","","","","FHLA15"
"JPDACRTRE","36,709,483.15","06/02/2020","65,961,500.00","100.067985300000000","ACR","LOAN","USD","ACR011635","","","","","","","","","","","","","","","","",""
"JPDACRTRE","34,547,925.00","06/02/2020","34,547,925.00","99.471334410000000","ACR","LOAN","USD","ACR011680","","","","","","","","","","","","","","","","",""
"USDACRTRE","12,452,075.00","06/02/2020","12,452,075.00","99.471318740000000","ACR","LOAN","USD","ACR011682","","","","","","","","","","","","","","","","","FHLA14"
"JPDACRTRE","44,022,530.87","06/02/2020","78,200,000.00","98.469743670000000","ACR","LOAN","USD","ACR011724","","","","","","","","","","","","","","","","",""
"JPDACRTRE","2,674,500.72","06/02/2020","3,125,000.00","100.000000000000000","ACR","LOAN","USD","ACR011739","","","","","","","","","","","","","","","","",""
"USDACRTRE","16,855,772.86","06/02/2020","19,695,000.00","98.988313230000000","ACR","LOAN","USD","ACR011740","","","","","","","","","","","","","","","","","FHLA2"
"USDACRTRE","432,199.28","06/02/2020","505,000.00","100.000000000000000","ACR","LOAN","USD","ACR011833","","","","","","","","","","","","","","","","","FHLA2"
"USDACRTRE","17,756,995.04","06/02/2020","24,375,000.00","98.988918020000000","ACR","LOAN","USD","ACR011837","","","","","","","","","","","","","","","","",""
"JPDACRTRE","88,784,977.11","06/02/2020","121,875,000.00","98.988865000000000","ACR","LOAN","USD","ACR011838","","","","","","","","","","","","","","","","",""
"USDACRTRE","455,307.32","06/02/2020","625,000.00","100.000000000000000","ACR","LOAN","USD","ACR011840","","","","","","","","","","","","","","","","",""
